connector,title,content,displaytitle,category,resourcetype,featureimage,,resourcepopupurl,filetitle,filetype,downloadablefile,externallink,audiopreview,previewonly,maindownload,note
1,印尼佳美蘭音樂,,印尼佳美蘭音樂,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印尼佳美蘭音樂.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印尼佳美蘭音樂.jpg,印尼佳美蘭音樂,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印尼佳美蘭音樂.jpg,,,,,
2,印尼傳統樂器昂格隆,,印尼傳統樂器昂格隆,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印尼傳統樂器昂格隆.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印尼傳統樂器昂格隆.jpg,印尼傳統樂器昂格隆,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印尼傳統樂器昂格隆.jpg,,,,,
3,印度傳統服飾,,印度傳統服飾,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾.jpg,印度傳統服飾,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾.jpg,,,,,
4,印度傳統服飾2,,印度傳統服飾2,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾2.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾2.jpg,印度傳統服飾2,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾2.jpg,,,,,
5,印度傳統服飾3,,印度傳統服飾3,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾3.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾3.jpg,印度傳統服飾3,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/印度傳統服飾3.jpg,,,,,
6,參觀清真寺,,參觀清真寺,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/參觀清真寺.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/參觀清真寺.jpg,參觀清真寺,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/參觀清真寺.jpg,,,,,
7,取笑他人傳統,,取笑他人傳統,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/取笑他人傳統.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/取笑他人傳統.jpg,取笑他人傳統,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/取笑他人傳統.jpg,,,,,
8,古代中外貿易,,古代中外貿易,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/古代中外貿易.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/古代中外貿易.jpg,古代中外貿易,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/古代中外貿易.jpg,,,,,
9,吃聖誕大餐,,吃聖誕大餐,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/吃聖誕大餐.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/吃聖誕大餐.jpg,吃聖誕大餐,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/吃聖誕大餐.jpg,,,,,
10,在日本餐廳吃壽司,,在日本餐廳吃壽司,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/在日本餐廳吃壽司.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/在日本餐廳吃壽司.jpg,在日本餐廳吃壽司,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/在日本餐廳吃壽司.jpg,,,,,